Date,Type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2011/1/13,SO2,9.4,11,9.9,10,11,11,11,11,12,12,12,12,5.8,7.4,7.1,5.9,8.1,7.7,8.3,11,11,9.5,13,14
2011/1/14,NO2,41,38,36,33,30,27,34,35,31,41,43,42,39,30,29,33,36,40,33,31,30,36,28,19
2011/1/14,O3,2.6,2.6,2.4,2.3,2.2,2.6,3.5,4,3.6,3.3,6,7.2,9,16,19,16,14,9.6,16,17,18,13,18,26
2011/1/14,PM10,70,79,72,58,79,75,71,97,94,79,102,109,83,75,63,41,48,66,57,50,52,43,39,42
2011/1/14,PM2.5,45,42,35,30,28,30,37,46,51,43,41,38,34,29,11,10,13,18,22,19,12,7,13,8
2011/1/14,SO2,12,6.3,6.8,5.8,4.5,3.9,6,11,12,15,12,10,6.5,2.6,1.4,1.3,1.8,2.3,1.5,1.1,1.2,2,1.6,0.7
2011/1/15,NO2,13,12,12,7.4,8.2,11,16,20,22,23,25,25,26,26,36,35,37,32,28,28,26,29,21,15
2011/1/15,O3,31,33,33,36,35,29,26,24,23,23,21,22,24,23,14,13,13,18,24,26,27,23,29,31
2011/1/15,PM10,40,23,29,34,31,27,32,41,24,24,37,41,43,56,81,81,67,72,83,95,94,95,104,92
2011/1/15,PM2.5,9,9,7,14,11,8,8,12,8,5,13,8,3,17,29,43,35,32,51,43,45,55,48,47
2011/1/15,SO2,0.3,1.9,1.8,1.1,0.9,1,1.2,1.1,1.2,1.2,1.4,1.6,1.8,2.4,4.1,3.8,3.6,3.7,3.7,5.1,7.8,9.4,7.4,7
